Sunda;Terjemahan;Thesaurus 1;Thesaurus 2;Thesaurus 3
aa ; kakak;aang ; akang ; lanceuk
aang ; kakak;aa ; akang ; lanceuk
abah ; bapak;apa ; rama ; 
abdi ; saya;dewek ; kaula ; kuring
abeng ; aneh, ajaib;aheng ; pahiwal ; 
aber; main;ngaber ; aber aberan ; ameng
ngaber; main;aber ; aber aberan ; ameng
aber aberan ; main;aber ; ngaber ; ameng
abi ; aku, saya;aing ; angken ; abdi
ablag ; terbuka;gerecek ; boker ; kaboker
ablu; tidak ada tujuan;ngablu ;  ; 
ngablu ; tidak ada tujuan;ablu ;  ; 
abong ; kurang enak; ;  ; 
abot ; berat;beurat ;  ; 
abreng; datang bersama;ambreg ; ngabreg ; 
ambreg; datang bersama;abreng ; ngabreg ; 
ngabreg ; datang bersama;abreng ; ambreg ; 
abring; berjalan bersama sama;ngarbing ;  ; 
ngarbing ; berjalan bersama sama;abring ;  ; 
abrul ; ke luar atau pergi bersama; ;  ; 
abur ; dibiarkan;antep ; engkeun ; kajeun
abus ; masuk;asup ; lebet ; 
acan ; belum;can ; tacan ; encan
acleng; loncat , terpelanting;ngacleng ; luncat ; 
ngacleng ; loncat , terpelanting;acleng ; luncat ; 
aclog ; melompat;ngajleng ; ajleng ; 
acreug; meloncat loncat ke atas;acreug acreugan ;  ; 
acreug acreugan ; meloncat loncat ke atas;acreug ;  ; 
acuk ; pakaian;anggoan ;  ; 
adat ; tabiat;sipat ; parangi ; watek
adeuh ; pertimbangan, perasaan hati; ;  ; 
adeuk ; akan;arek ; bakal ; rek
adi ; adik;rai ;  ; 
adigung ; terkebur, mementingkan diri sendii;adiguna ; gumede ; 
adil ; adil;jujur ; wajar ; 
adug; meronta ronta;aduga-adugan ;  ; 
aduga-adugan ; meronta ronta;adug ;  ; 
aduy ; hamper hancur; ;  ; 
aeh ; kaget, merasa heran;deudeupeun ; soak ; 
agag; ragu ragu;agag-agagan ;  ; 
agag-agagan ; ragu ragu;agag ;  ; 
agan ; tuan;juragan ;  ; 
ageh- agehan ; sisihkan sebagian buat yg lain; ;  ; 
ageung ; besar;badag ; gede ; ngreng
agul ;  sombong;angguklung ; angkuh ; bedang
aheng ; aneh;pahiwal ; abeng ; 
ahirna ; akhirnya;antuk ; antukna ; bucit
aing ; saya, aku;abdi ; abi ; dewek
ais; menggendong;ngais ; ecag ; 
ngais ; menggendong;ais ; ecag ; 
ajag ; serigala;ngabubuhan ;  ; 
ajang; untuk, bagi, buat;jang ; kanggo ; paranti
jang ; untuk, bagi, buat;ajang ; kanggo ; paranti
ajen ; nilai, harga;peunteun ; pangaos ; 
ajeng ; mengajukan; ;  ; 
ajle ajle-ajlean ; meloncat loncat;guntayangan ; ngaguntayang ; 
ajleng ; lompat;aclog ; ngajleng ; 
ajol; mendadak;ngajol ;  ; 
ngajol ; mendadak;ajol ;  ; 
ajrag ; lonjak;luncat ; ajret ; 
